;Visitors IN;Visitors OUT;Men IN;Men OUT;Women IN;Women OUT;Group IN;Group OUT;Passersby;Visitors INA;Visitors AOUT;Visitors Live;DwellTime
10/10/2024 0:00;0;0;0;0;0;0;0;0;30;0;0;0;0:36
10/10/2024 1:00;0;0;0;0;0;0;0;0;14;0;0;0;0:36
10/10/2024 2:00;0;0;0;0;0;0;0;0;37;0;0;0;0:36
10/10/2024 3:00;0;0;0;0;0;0;0;0;24;0;0;0;0:36
10/10/2024 4:00;0;0;0;0;0;0;0;0;14;0;0;0;0:36
10/10/2024 5:00;0;0;0;0;0;0;0;0;92;0;0;0;0:36
10/10/2024 6:00;0;0;0;0;0;0;0;0;183;0;0;0;0:36
10/10/2024 7:00;19;19;0;1;11;8;19;19;632;19;19;19;0:36
10/10/2024 8:00;83;66;17;10;38;31;77;61;2701;102;85;83;0:36
10/10/2024 9:00;117;99;29;18;59;51;105;91;3215;219;184;134;0:36
10/10/2024 10:00;88;85;30;18;34;38;81;76;3384;307;269;123;0:36
10/10/2024 11:00;91;97;20;27;42;43;82;89;5412;398;366;129;0:36
10/10/2024 12:00;226;193;56;40;134;114;197;170;8205;624;559;258;0:36
10/10/2024 13:00;210;236;38;39;114;137;185;207;7553;834;795;275;0:36
10/10/2024 14:00;103;102;28;21;48;55;88;87;5065;937;897;142;0:36
10/10/2024 15:00;92;104;21;22;34;47;79;94;5113;1029;1001;132;0:36
10/10/2024 16:00;75;99;22;24;34;49;66;85;7208;1104;1100;103;0:36
10/10/2024 17:00;79;86;16;18;37;41;69;73;7494;1183;1186;83;0:36
10/10/2024 18:00;50;63;11;11;20;30;47;54;5345;1233;1249;47;0:36
10/10/2024 19:00;21;40;3;9;9;17;22;35;3675;1254;1289;5;0:36
10/10/2024 20:00;2;5;1;2;1;2;2;5;1594;1256;1294;0;0:36
10/10/2024 21:00;0;0;0;0;0;0;0;0;1037;1256;1294;0;0:36
10/10/2024 22:00;0;0;0;0;0;0;0;0;1075;1256;1294;0;0:36
10/10/2024 23:00;0;0;0;0;0;0;0;0;541;1256;1294;0;0:36
10/11/2024 0:00;0;0;0;0;0;0;0;0;266;0;0;0;0:37
10/11/2024 1:00;0;0;0;0;0;0;0;0;40;0;0;0;0:37
10/11/2024 2:00;0;0;0;0;0;0;0;0;41;0;0;0;0:37
10/11/2024 3:00;0;0;0;0;0;0;0;0;14;0;0;0;0:37
10/11/2024 4:00;0;0;0;0;0;0;0;0;9;0;0;0;0:37
10/11/2024 5:00;0;0;0;0;0;0;0;0;70;0;0;0;0:37
10/11/2024 6:00;1;1;0;0;1;1;1;1;181;1;1;1;0:37
10/11/2024 7:00;16;13;6;6;7;3;14;11;908;17;14;16;0:37
10/11/2024 8:00;63;46;13;9;34;26;61;45;1791;80;60;66;0:37
10/11/2024 9:00;86;84;28;25;36;35;79;77;2907;166;144;106;0:37
10/11/2024 10:00;69;66;23;15;32;28;60;65;3550;235;210;91;0:37
10/11/2024 11:00;103;96;26;23;49;44;92;86;4907;338;306;128;0:37
10/11/2024 12:00;167;148;41;37;90;77;144;130;7932;505;454;199;0:37
10/11/2024 13:00;163;183;40;31;98;111;148;160;7918;668;637;214;0:37
10/11/2024 14:00;102;96;15;12;62;57;88;84;7067;770;733;133;0:37
10/11/2024 15:00;92;96;23;14;42;51;78;83;8794;862;829;129;0:37
10/11/2024 16:00;105;113;16;20;68;64;90;97;9894;967;942;138;0:37
10/11/2024 17:00;70;85;16;11;39;53;64;76;9587;1037;1027;95;0:37
10/11/2024 18:00;65;72;10;12;37;40;55;68;7931;1102;1099;75;0:37
10/11/2024 19:00;23;50;2;9;12;25;20;38;4327;1125;1149;26;0:37
10/11/2024 20:00;0;0;0;0;0;0;0;0;2545;1125;1149;0;0:37
10/11/2024 21:00;0;0;0;0;0;0;0;0;1652;1125;1149;0;0:37
10/11/2024 22:00;0;0;0;0;0;0;0;0;1067;1125;1149;0;0:37
10/11/2024 23:00;0;0;0;0;0;0;0;0;1047;1125;1149;0;0:37
10/12/2024 0:00;0;0;0;0;0;0;0;0;446;0;0;0;0:39
10/12/2024 1:00;0;0;0;0;0;0;0;0;189;0;0;0;0:39
10/12/2024 2:00;0;0;0;0;0;0;0;0;117;0;0;0;0:39
10/12/2024 3:00;0;0;0;0;0;0;0;0;56;0;0;0;0:39
10/12/2024 4:00;0;0;0;0;0;0;0;0;54;0;0;0;0:39
10/12/2024 5:00;0;0;0;0;0;0;0;0;103;0;0;0;0:39
10/12/2024 6:00;0;0;0;0;0;0;0;0;195;0;0;0;0:39
10/12/2024 7:00;0;0;0;0;0;0;0;0;348;0;0;0;0:39
10/12/2024 8:00;16;13;2;2;7;6;15;12;804;16;13;16;0:39
10/12/2024 9:00;77;58;15;6;46;30;71;47;1735;93;71;80;0:39
10/12/2024 10:00;100;89;25;16;40;40;85;84;3417;193;160;122;0:39
10/12/2024 11:00;104;89;21;17;54;45;90;78;5588;297;249;137;0:39
10/12/2024 12:00;154;137;27;22;81;72;127;115;7095;451;386;202;0:39
10/12/2024 13:00;171;176;39;32;101;90;143;141;9028;622;562;236;0:39
10/12/2024 14:00;162;176;33;34;90;92;134;142;10691;784;738;222;0:39
10/12/2024 15:00;158;145;34;23;83;80;131;121;10710;942;883;204;0:39
10/12/2024 16:00;162;149;23;18;95;81;134;124;10495;1104;1032;221;0:39
10/12/2024 17:00;136;179;23;25;65;93;110;140;10029;1240;1211;208;0:39
10/12/2024 18:00;82;102;17;20;40;48;66;88;9595;1322;1313;111;0:39
10/12/2024 19:00;26;42;3;7;12;23;21;38;4009;1348;1355;35;0:39
10/12/2024 20:00;0;1;0;1;0;0;0;1;2412;1348;1356;0;0:39
10/12/2024 21:00;0;1;0;0;0;0;0;1;1378;1348;1357;0;0:39
10/12/2024 22:00;0;0;0;0;0;0;0;0;1140;1348;1357;0;0:39
10/12/2024 23:00;0;0;0;0;0;0;0;0;640;1348;1357;0;0:39
10/13/2024 0:00;0;0;0;0;0;0;0;0;261;0;0;0;0:37
10/13/2024 1:00;0;0;0;0;0;0;0;0;265;0;0;0;0:37
10/13/2024 2:00;0;0;0;0;0;0;0;0;104;0;0;0;0:37
10/13/2024 3:00;0;0;0;0;0;0;0;0;53;0;0;0;0:37
10/13/2024 4:00;0;0;0;0;0;0;0;0;43;0;0;0;0:37
10/13/2024 5:00;0;0;0;0;0;0;0;0;81;0;0;0;0:37
10/13/2024 6:00;0;0;0;0;0;0;0;0;116;0;0;0;0:37
10/13/2024 7:00;0;0;0;0;0;0;0;0;125;0;0;0;0:37
10/13/2024 8:00;0;0;0;0;0;0;0;0;309;0;0;0;0:37
10/13/2024 9:00;20;9;5;2;7;3;18;9;774;20;9;20;0:37
10/13/2024 10:00;43;39;13;9;17;19;38;34;1205;63;48;54;0:37
10/13/2024 11:00;48;52;12;11;24;23;41;48;1665;111;100;63;0:37
10/13/2024 12:00;44;44;15;7;17;14;38;37;1984;155;144;55;0:37
10/13/2024 13:00;55;55;9;8;28;29;50;46;2240;210;199;66;0:37
